player_name,1st_serve_in_percent,1st_serve_won_percent,2nd_serve_won_percent,1st_return_won_percent,2nd_return_won_percent
Daniil Medvedev,61,75,52,31,54
Carlos Alcaraz,65,71,55,34,53
Nicolas Jarry,64,74,53,26,46
Lorenzo Musetti,64,69,51,30,51
Hubert Hurkacz,64,76,52,27,48
Jannik Sinner,59,73,54,32,53
Quentin Halys,60,77,47,25,46
Maximilian Marterer,63,70,53,24,45
Daniel Elahi Galan,63,69,49,29,49
Alexander Bublik,58,77,45,28,46
Mikael Ymer,68,64,48,32,51
Liam Broady,62,66,49,29,48
Denis Shapovalov,59,76,51,28,48
Guido Pella,65,58,52,27,51
Roman Safiullin,63,74,52,28,51
David Goffin,58,71,50,31,52
Andrey Rublev,61,75,51,30,53
Stan Wawrinka,58,74,54,30,49
Novak Djokovic,65,74,56,34,55
Jiri Lehecka,64,70,51,28,47
Tommy Paul,61,71,52,30,51
Christopher Eubanks,68,74,51,23,44
Christopher O'Connell,63,73,49,26,47
Marton Fucsovics,58,70,51,31,50
Alejandro Davidovich Fokina,67,66,51,32,51
Holger Rune,63,72,53,29,59
Laslo Djere,60,71,50,29,49
Stefanos Tsitsipas,62,76,55,29,49
Frances Tiafoe,61,73,52,27,50
Grigor Dimitrov,62,75,51,30,50
Alexander Zverev,66,74,50,30,51
Matteo Berrettini,63,78,53,28,46